BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,PAI INTERNATIONAL,Shalibanda -  MBS,"Plot No. 23- 5- 381/A/1& 2, 23- 5, 381/A/3&4,

23- 5- 382/A/7& 2 SYED ALI CHABUTRA,

OPP SHAH GHOUSE HOTEL, SHALIBANDA ROAD,

Old City, Hyderabad -  500065.",,Old City, Hyderabad,,500065.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Neredmet,"No G 6 G 7 Nagarjuna Arcade

Neredmet X Roads, Hyderabad- 500056.",,Neredmet X Roads, Hyderabad,,500056.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Warangal,"Door No.9- 10- 21&22, Jpn Road,

Opposite Sbh Petrol Pump,

Warangal, Telangana- 506002",,Warangal, Telangana,,506002,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  KARIMNAGAR," Door No.7- 4- 4221/1,

Beside Indian Overseas Bank, Mankamathota,

Karimnagar,Telangana State- 505001",,Karimnagar,Telangana State,,505001,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  KAMAREDDY," Door no 1- 2- 22, Beside SBI bank,

Sircilla road Kamareddy District,

Telangana - 503111",,Telangana,,,503111,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Dilsukhnagar,"No. 13- 9- 46/7,Near Sai baba Temple,

Dilsukhnagar,Hyderabad- 500060.",,Dilsukhnagar,Hyderabad,,500060.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Manikonda,"No 8 1 284 Ou 192Ou Colony,

Shakirpet,manikonda,

HYDERABAD- 500008.",,HYDERABAD,,,500008.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Paradise,"No 6 139D NO 1 7 288 6 AND SHOP NO 18 D NO 1 7 288 18

Paradise Junction,

HYDERABAD- 500060",,HYDERABAD,,,500060,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Hasthinapuram,"NO G1 H NO 7 2 256 7,

OMKARNAGARSAGAR ROAD HASTHINAPURAM

HYDERABAD- 500060",,HYDERABAD,,,500060,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Karkhana,"NO 20 SURVEY NO 6061 621

NEW VASAVI COOPERATIVE HOUSING SOCIETY,

KHARKHANA, SECUNDERABAD- 500015",,KHARKHANA, SECUNDERABAD,,500015,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
