BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"NO 87 ALMAS 
CENTREMG ROAD",,BANGALORE,,,560001,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"NO 641 46TH CROSS11TH MAIN
 5TH BLOCKJAYANAGAR",,BANGALORE,,,560011,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8705 NO 495 7TH MAINHMT
 LAYOUTGANGANAGAR R T NAGAR",,BANGALORE,,,560032,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8715 NO 8 BTM 2NDSTAGE 1ST
 PHASERASHTRAKAVI KUVEMPU NAGAR",,BANGALORE,,,560076,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"STORE CODE 7514PROPERTY NO 7 CMC NO7 5 5 WHITEFIELD MAIN ROAD WHITEFIELD CMC WARD NO 17
WHITEFIELD",,BANGALORE,,,560066,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"STORE CODE 7515ANJANAPURA MAIN ROADOPP SOUDHAMINI KALYANA MANTAPA
 KONANAKUNTE"," STORE CODE 7515ANJANAPURA MAIN ROADOPP SOUDHAMINI KALYANA MANTAPA
 KONANAKUNTE",BANGALORE,,,560062,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"STORE CODE 7522GF MUNICIPAL NO 5BRUHAT BANGALORE MAHANAGARA PALIKE PID NO 54 364 5 SRINIVASNAGAR 1ST PHASE IIIRD STAGE
BANASHANKHARI",,BANGALORE,,,560050,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7533 NO 32 100 FTRING ROAD BSK 3RDSTAGE 3RD
PHASE",,BANGALORE,,,560085,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7544 NO 7 6TH MAINROAD SRIKANTESHWARANAGAR SHANAKARANAGAR MAIN ROAD
 MAHALAKSHMI LAYOUT",,BANGALORE,,,560096,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"STORE CODE 8467DX MINI MATHIKEREBEHIND MS RAMAIAH COLLEGE BUS STOP 1ST STAGE
 HMT MAIN ROAD",,BANGALORE,,,560054,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"UP SM BAR 051 F 4 5S14
 PHOENIX UNITEDMALL",,BAREILLY,,,243002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"PROCUBE COMPLEX
OPP TVS SHOWROOMNIZAMPURA"," PROCUBE COMPLEX
OPP TVS SHOWROOMNIZAMPURA",BARODA,,,390002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8726 SHOP NOS  G 0102 &03
 LGF OPP SURYAVIHAR JUNWANI"," 8726 SHOP NOS  G 0102 &03
 LGF OPP SURYAVIHAR JUNWANI",BHILAI,,,490020,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL COASTAL CASTLEBHEEMAVARAM STORERELIANCEDIGITAL RETAIL LTD 172 5 UNDLI ROAD BHIMAVARAM BHIMAVARAM 
WEST GODAVARI BHEEMAVARAM",,BHIMAVARAM,,Andhra Pradesh,534201,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"SHOP NO FF 12 A TOFF 24 CAPITAL MALL
PLOT NO 812 CP 4 RIICO",,BHIWADI,,,301019,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL CITY MALLBHOPAL STORE SECONDFLOOR UNIT NO S 36 AND S 37 D B MALL M P NAGAR SANJAY NAGAR JAIL ROAD
UNIT NO S 36 AND S 37 D B MALL M P NAGAR SANJAY NAGAR JAIL ROAD",,BHOPAL,,Madhya Pradesh,462011,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8730LAND KHASRA NO162 GF &FF DRISHTIPLAZA
 SARVADHARAM COLONY KOLAR ROAD",,BHOPAL,,Madhya Pradesh,462042,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL PLOT NO 14731537
 KHATA NO 444KHARVELA NAGAR",,BHUBANESHWAR,,,751002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL 1ST FLRSHOP NO 21 22 & 23CITY MALL 36 MANGLA CHOWK MUNGELI ROAD MANGLA CHOWK
 MUNGELI ROAD MANGLA CHOWK",,BILASPUR MP,,,495001,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"2ND FLR GALAXY MALLBURNPUR 
CHITRA MOREPS HIRAPUR DIST",,BURDWAN,,,713325,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"FF CURZON RESIDENCYGTRD 
OPP CURZON GATE"," FF CURZON RESIDENCYGTRD 
OPP CURZON GATE",BURDWAN,,,713101,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"17 401 C1 SECOND FLR
FOCUS MALL RAJAJI RDPUTHIYARA",,CALICUT,,,673002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
